exper	educ
10	12
6	13
19	8
5	16
5	16
7	11
9	13
10	12
7	11
15	12
13	12
9	11
4	14
15	12
5	18
5	17
2	16
12	14
14	9
8	11
15	11
4	14
7	12
19	9
9	11
8	13
12	7
8	12
10	13
17	10
15	13
12	11
14	13
13	8
4	17
6	12
9	18
9	16
13	14
12	16
10	18
9	13
13	13
14	13
18	10
10	12
11	12
5	16
6	13
14	12
6	15
4	16
6	18
5	15
10	12
3	18
20	5
6	14
6	12
15	12
4	16
6	14
16	12
5	14
13	14
10	12
7	12
8	13
7	13
11	12
8	13
7	12
7	18
14	12
7	13
6	12
10	12
6	17
7	11
9	12
10	13
14	12
8	12
14	12
11	12
8	18
13	12
12	12
6	12
12	12
7	13
6	13
6	12
4	16
3	16
14	10
14	11
21	6
11	10
10	11
9	11
15	10
13	10
16	10
18	8
4	18
8	13
9	12
8	12
10	12
8	14
7	12
1	18
9	13
7	16
5	13
19	9
4	15
8	12
7	14
7	13
18	9
12	11
11	8
7	12
14	12
18	10
4	16
9	11
16	5
19	9
7	17
3	17
4	18
16	12
8	10
6	12
15	12
17	7
12	12
6	13
4	14
9	11
8	12
6	12
9	10
9	16
12	14
8	16
6	14
4	15
14	12
15	12
7	17
8	12
7	13
11	13
9	12
20	8
6	18
8	14
5	14
5	18
13	15
10	18
5	17
1	17
10	13
7	14
8	14
14	12
7	12
15	10
5	17
10	16
14	12
4	16
2	16
14	10
8	13
6	13
5	13
7	11
15	12
7	12
4	15
9	13
9	10
11	14
7	13
5	16
10	12
2	17
7	13
4	18
8	12
10	12
11	10
8	10
6	18
4	16
7	16
11	15
8	12
8	14
6	13
7	12
7	16
6	14
3	18
11	17
8	18
10	11
8	17
4	14
7	11
12	14
5	14
9	16
6	13
5	14
7	14
16	12
11	12
5	14
8	16
13	13
16	12
5	16
10	17
11	14
12	12
8	18
11	12
6	12
15	12
6	15
14	13
9	12
6	12
16	12
3	18
7	12
12	10
11	15
7	15
11	14
13	12
7	14
3	18
15	13
6	12
5	13
8	14
2	16
8	14
7	15
9	10
8	16
13	14
6	13
6	14
7	12
7	13
7	16
8	16
9	18
8	18
11	15
11	16
8	18
10	18
8	12
1	17
14	12
11	12
11	17
8	11
15	11
20	8
5	18
5	17
4	16
3	16
13	15
10	12
5	16
5	18
5	13
5	15
5	16
8	11
11	16
11	12
8	16
6	13
5	16
2	17
9	15
10	12
19	8
11	14
10	16
10	16
7	15
5	13
14	12
8	14
9	12
5	13
7	15
7	11
13	15
9	18
2	18
14	12
3	16
8	14
9	12
10	16
12	12
10	10
6	12
6	12
8	11
3	16
4	16
2	18
6	12
4	16
11	15
7	18
7	16
9	15
4	14
1	17
4	16
6	16
15	12
6	12
6	16
4	15
6	15
6	12
7	14
6	14
6	16
8	14
16	12
6	16
11	16
10	17
13	13
10	13
8	12
7	12
9	18
6	15
6	12
9	18
11	12
14	14
8	14
10	15
13	12
16	9
12	14
14	14
4	14
15	12
6	14
16	12
11	10
8	14
10	16
13	15
14	14
7	12
7	13
3	17
5	13
6	18
9	12
14	12
4	17
5	15
15	13
12	16
6	12
2	17
2	17
8	12
15	13
12	12
11	17
12	15
17	11
3	15
4	16
2	16
12	14
15	12
11	12
8	12
4	16
6	12
9	12
3	16
10	18
16	12
7	11
7	12
10	13
9	16
6	15
8	13
9	15
9	14
7	13
5	13
3	15
13	12
11	12
4	15
16	12
16	12
9	12
3	16
7	14
7	11
11	13
10	13
5	16
7	15
3	16
4	15
15	9
9	16
13	12
6	12
9	14
7	12
10	14
7	14
4	17
12	15
11	13
6	16
11	15
10	14
7	16
6	14
3	15
13	13
10	16
4	18
16	12
9	14
12	12
3	18
10	16
7	11
10	16
14	12
8	17
4	17
8	12
4	17
15	12
12	13
7	13
18	10
9	12
10	16
8	14
4	16
1	17
17	9
14	12
7	12
3	17
10	16
10	13
15	12
13	12
13	14
7	16
7	14
11	14
14	12
8	17
6	14
4	16
7	12
13	12
5	16
5	16
3	17
5	17
6	14
7	12
15	12
3	16
7	14
7	12
4	16
8	16
7	12
15	12
7	12
3	15
7	13
5	13
7	16
11	12
11	16
9	12
5	14
8	16
18	10
13	13
18	8
2	16
11	16
15	12
12	16
0	18
8	14
8	12
15	9
11	10
9	9
10	12
8	11
10	9
7	13
4	14
8	16
13	12
5	17
5	16
12	12
9	12
16	12
7	12
6	13
7	11
11	10
3	15
3	16
11	17
8	16
9	13
3	16
5	13
8	14
7	12
13	11
8	18
10	12
5	16
10	12
7	12
10	12
7	12
7	12
3	15
9	13
3	16
10	13
12	11
10	10
3	15
6	15
6	14
9	18
5	14
10	10
9	12
6	13
12	8
9	9
7	12
4	16
10	15
7	12
17	10
7	13
6	12
14	12
9	14
3	16
14	12
18	7
8	16
10	16
15	12
8	18
9	12
9	14
17	8
10	13
8	13
7	12
9	11
3	18
4	15
18	9
17	2
15	3
10	12
6	12
9	9
6	12
6	12
7	13
6	12
6	12
8	13
9	17
8	12
9	12
19	5
9	12
11	12
9	12
11	12
6	12
9	12
7	13
11	12
8	12
11	11
10	16
6	14
15	13
13	12
9	14
6	12
13	14
6	12
9	12
10	11
2	18
2	16
14	11
16	10
10	12
18	10
17	10
6	12
9	13
11	13
10	11
6	12
12	8
10	9
8	12
4	15
17	8
10	12
9	13
15	12
16	8
15	9
6	13
6	12
9	12
8	12
9	12
9	12
3	16
9	11
8	13
5	14
12	8
9	9
12	12
7	12
14	9
6	16
7	12
16	6
13	12
3	15
6	16
9	16
5	16
5	13
15	12
11	12
9	16
14	11
4	16
2	16
15	11
16	8
9	11
10	11
13	14
6	14
10	15
6	18
7	12
22	1
2	16
11	12
15	9
5	13
14	12
6	12
5	14
2	16
11	12
16	12
14	12
9	12
15	12
4	14
9	14
15	13
3	16
7	13
6	16
14	12
7	13
3	18
10	16
8	12
8	11
8	10
6	16
10	12
8	12
11	12
8	10
16	12
16	12
6	12
9	11
6	12
6	12
7	14
2	16
15	12
9	18
17	4
18	10
15	10
16	10
6	13
9	11
15	9
19	9
6	13
13	10
10	12
18	8
16	10
8	12
3	16
8	12
10	8
10	11
8	12
7	12
12	8
14	9
11	8
8	13
10	12
8	12
9	10
20	6
13	11
7	12
7	13
3	15
18	10
4	14
8	12
12	7
13	6
11	10
7	12
22	6
7	16
7	18
6	13
7	12
12	9
11	8
12	9
9	11
13	11
10	12
8	12
23	5
4	17
4	16
3	16
15	4
13	11
4	14
8	12
16	5
3	16
9	12
10	10
9	12
12	11
9	12
9	9
8	12
8	11
4	14
7	16
3	16
7	15
16	8
12	9
8	10
9	10
8	16
10	12
4	18
8	12
4	14
7	12
2	17
11	12
4	16
8	12
9	17
6	16
5	17
4	14
17	6
7	14
13	12
12	12
8	12
11	12
8	12
9	12
15	12
8	12
18	10
8	16
11	12
6	16
17	11
5	14
8	12
6	13
8	11
8	16
6	18
8	16
12	12
3	16
6	12
6	18
9	12
6	12
9	12
16	8
9	15
3	18
7	13
14	11
6	12
21	7
8	13
9	12
9	11
17	5
10	12
10	10
9	12
10	12
9	13
11	11
10	16
12	12
7	13
21	5
6	12
20	6
16	7
10	11
8	10
9	12
12	9
8	10
14	13
18	7
11	10
12	9
10	12
6	16
16	12
8	12
17	11
8	10
16	8
15	12
12	11
13	12
8	12
10	13
8	12
18	7
18	10
5	16
5	17
7	14
14	10
10	8
17	9
12	7
15	9
7	12
2	16
16	7
20	7
18	7
8	12
8	12
10	13
4	15
9	11
10	13
18	5
9	12
17	8
10	11
12	8
7	13
17	6
18	6
17	10
12	8
7	12
14	10
7	12
4	16
7	16
8	12
6	12
8	12
8	15
8	14
3	16
18	8
13	10
16	8
9	9
7	17
3	16
11	9
13	8
14	14
15	12
9	10
22	4
19	8
9	10
9	12
8	12
9	18
7	12
10	12
16	12
10	16
2	16
7	12
20	8
12	12
9	10
5	16
17	8
17	7
7	12
4	14
2	16
2	16
5	13
4	16
11	14
5	16
5	13
6	12
14	12
7	12
2	17
3	16
4	16
3	17
9	11
6	17
11	16
8	12
14	12
11	17
4	14
3	15
9	9
14	11
6	12
12	12
14	12
9	18
7	16
8	17
5	17
4	16
6	12
10	11
10	9
15	11
9	10
12	14
13	10
9	13
18	8
16	9
15	7
9	10
7	16
6	16
11	11
6	16
10	12
15	12
7	11
9	16
9	13
13	7
11	10
14	7
11	11
14	9
12	12
3	15
8	16
12	12
12	9
6	12
8	12
8	12
3	18
7	15
15	10
10	9
21	6
15	10
11	12
9	12
7	14
14	10
14	14
8	16
11	13
4	16
8	13
8	15
5	16
6	12
6	13
7	12
15	13
6	12
13	12
7	13
